trial,method,matrix_type,signal_type,coherence_strength,n,m,k,m_over_n,k_over_m,noise_std,nrmse,precision,recall,f1,exact_support
23,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5452752081007406,0.4482758620689655,0.4482758620689655,0.4482758620689655,0
23,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5193560798670395,0.5172413793103449,0.5172413793103449,0.5172413793103449,0
23,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.520936679847234,0.5,0.5,0.5,0
24,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.8390765159684411,0.3275862068965517,0.3275862068965517,0.3275862068965517,0
24,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.9001106103717917,0.3448275862068966,0.3448275862068966,0.3448275862068966,0
24,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.9263489083439571,0.3275862068965517,0.3275862068965517,0.3275862068965517,0
24,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.7855214824991322,0.3620689655172414,0.3620689655172414,0.36206896551724144,0
25,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5672661210418826,0.5344827586206896,0.5344827586206896,0.5344827586206896,0
25,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5454191824507243,0.5344827586206896,0.5344827586206896,0.5344827586206896,0
25,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.3982477142956767,0.6724137931034483,0.6724137931034483,0.6724137931034483,0
25,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5967972329150019,0.5344827586206896,0.5344827586206896,0.5344827586206896,0
26,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.3134919242274736,0.6206896551724138,0.6206896551724138,0.6206896551724138,0
26,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.34896194143621445,0.6379310344827587,0.6379310344827587,0.6379310344827587,0
26,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.3487812918506812,0.6379310344827587,0.6379310344827587,0.6379310344827587,0
26,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.34501559907191554,0.6551724137931034,0.6551724137931034,0.6551724137931034,0
27,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5108002400683557,0.5689655172413793,0.5689655172413793,0.5689655172413793,0
27,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,1.0604966648248195,0.4827586206896552,0.4827586206896552,0.4827586206896552,0
27,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5235700201591351,0.603448275862069,0.603448275862069,0.603448275862069,0
27,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5389334551115498,0.603448275862069,0.603448275862069,0.603448275862069,0
28,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5143982565406008,0.5172413793103449,0.5172413793103449,0.5172413793103449,0
28,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.538583175245525,0.5172413793103449,0.5172413793103449,0.5172413793103449,0
28,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.47437093190000734,0.5689655172413793,0.5689655172413793,0.5689655172413793,0
28,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5168375144889837,0.5172413793103449,0.5172413793103449,0.5172413793103449,0
29,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5696479127120347,0.5172413793103449,0.5172413793103449,0.5172413793103449,0
29,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.6514729599641202,0.5172413793103449,0.5172413793103449,0.5172413793103449,0
29,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.6397440911259304,0.5172413793103449,0.5172413793103449,0.5172413793103449,0
29,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.5069436932314143,0.5862068965517241,0.5862068965517241,0.5862068965517241,0
30,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.8344377583941692,0.43103448275862066,0.43103448275862066,0.43103448275862066,0
30,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,1.141163524992776,0.3793103448275862,0.3793103448275862,0.3793103448275862,0
30,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.822461063605928,0.43103448275862066,0.43103448275862066,0.43103448275862066,0
30,OMP_LearnedUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.910420987203196,0.43103448275862066,0.43103448275862066,0.43103448275862066,0
31,OMP,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.33966203085632,0.6724137931034483,0.6724137931034483,0.6724137931034483,0
31,OMP_RandomUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.38506538123562595,0.6206896551724138,0.6206896551724138,0.6206896551724138,0
31,OMP_CorrelationUnion,coherent,compressible,0.5,256,128,58,0.5,0.453125,0.01,0.42302800329031925,0.6206896551724138,0.6206896551724138,0.6206896551724138,0
