trial,matrix_type,n,m,k,m_over_n,k_over_m,noise_std,method,nrmse,precision,recall,f1,exact_support
6,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5828442789032156,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
6,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.4497037077141073,0.5,0.5,0.5,0
6,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.4703360206531708,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
6,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.20509651600546056,0.875,0.875,0.875,0
6,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.2382076910708015,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
6,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.5209433765141576,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
6,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.46994171042239014,0.625,0.625,0.625,0
7,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5185676051655908,0.375,0.375,0.375,0
7,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.46676433045252985,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
7,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.5432837185928692,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
7,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.3039980652043117,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
7,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.3895798454799625,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
7,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.27719982109143027,0.75,0.75,0.75,0
7,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.2771998210914306,0.75,0.75,0.75,0
8,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.6380598799986258,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
8,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.4227078742616144,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
8,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.2553588576149662,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
8,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.1911163044042576,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
8,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.1938611797295478,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
8,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.2536379500403507,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
8,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.22949550586026185,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
9,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.502319663738561,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
9,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.5475379156805615,0.5,0.5,0.5,0
9,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.514354234785751,0.5,0.5,0.5,0
9,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.23932627916032684,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
9,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.24877887902826598,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
9,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.49338482695997443,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
9,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.4933848269599746,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
10,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.49595453363318975,0.5,0.5,0.5,0
10,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.3590019616087707,0.625,0.625,0.625,0
10,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.2749256831965473,0.75,0.75,0.75,0
10,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.28451220870952293,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
10,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.31546732562735486,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
10,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.3126544057042868,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
10,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.3080785138164871,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
11,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5241551282371918,0.5,0.5,0.5,0
11,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.5407068149015194,0.5416666666666666,0.5416666666666666,0.5416666666666666,0
11,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.4836272804449673,0.625,0.625,0.625,0
11,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.2639534015815307,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
11,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.24946736155968718,0.875,0.875,0.875,0
11,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.5124850754943819,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
11,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.4932771869655651,0.625,0.625,0.625,0
12,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.4540678214529442,0.5,0.5,0.5,0
12,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.5075174447343426,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
12,gaussian,256,96,24,0.375,0.25,0.01,IHT,0.2147272053361689,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
12,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.21700668062015302,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
12,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.20177568173976626,0.75,0.75,0.75,0
12,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.19786669890003358,0.7083333333333334,0.7083333333333334,0.7083333333333334,0
