trial,method,n,m,k,noise_std,matrix_type,nrmse,precision,recall,f1,exact_support
0,CorrelationTopK,256,128,55,0.01,coherent,0.8929941114345206,0.32727272727272727,0.32727272727272727,0.32727272727272727,0
0,LearnedSupportMLP,256,128,55,0.01,coherent,0.700012516884351,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
0,OMP,256,128,55,0.01,coherent,0.25293067372519357,0.6909090909090909,0.6909090909090909,0.6909090909090909,0
0,OMP_LearnedUnion,256,128,55,0.01,coherent,0.25699825987155656,0.6909090909090909,0.6909090909090909,0.6909090909090909,0
0,CoSaMP,256,128,55,0.01,coherent,0.3316543634251753,0.6,0.6,0.6,0
1,CorrelationTopK,256,128,55,0.01,coherent,0.8165360186054054,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
1,LearnedSupportMLP,256,128,55,0.01,coherent,0.7087806987326916,0.5272727272727272,0.5272727272727272,0.5272727272727272,0
1,OMP,256,128,55,0.01,coherent,0.02097741428396842,0.9090909090909091,0.9090909090909091,0.9090909090909091,0
1,OMP_LearnedUnion,256,128,55,0.01,coherent,0.02686641779128474,0.8909090909090909,0.8909090909090909,0.8909090909090909,0
1,CoSaMP,256,128,55,0.01,coherent,0.44080500574703874,0.6363636363636364,0.6363636363636364,0.6363636363636364,0
2,CorrelationTopK,256,128,55,0.01,coherent,0.6182468492667499,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
2,LearnedSupportMLP,256,128,55,0.01,coherent,0.6875150341644787,0.41818181818181815,0.41818181818181815,0.41818181818181815,0
2,OMP,256,128,55,0.01,coherent,0.6793908627008038,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
2,OMP_LearnedUnion,256,128,55,0.01,coherent,0.665358638821718,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
2,CoSaMP,256,128,55,0.01,coherent,0.5316313764808411,0.5818181818181818,0.5818181818181818,0.5818181818181818,0
3,CorrelationTopK,256,128,55,0.01,coherent,0.809325981469394,0.3090909090909091,0.3090909090909091,0.3090909090909091,0
3,LearnedSupportMLP,256,128,55,0.01,coherent,0.7257972729128562,0.38181818181818183,0.38181818181818183,0.38181818181818183,0
3,OMP,256,128,55,0.01,coherent,0.07614203667716705,0.8909090909090909,0.8909090909090909,0.8909090909090909,0
3,OMP_LearnedUnion,256,128,55,0.01,coherent,0.07976265614560168,0.9090909090909091,0.9090909090909091,0.9090909090909091,0
3,CoSaMP,256,128,55,0.01,coherent,0.5047378402095116,0.5272727272727272,0.5272727272727272,0.5272727272727272,0
4,CorrelationTopK,256,128,55,0.01,coherent,0.8451265953256051,0.38181818181818183,0.38181818181818183,0.38181818181818183,0
4,LearnedSupportMLP,256,128,55,0.01,coherent,0.6409268505927908,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
4,OMP,256,128,55,0.01,coherent,0.07227939833081995,0.8363636363636363,0.8363636363636363,0.8363636363636363,0
4,OMP_LearnedUnion,256,128,55,0.01,coherent,0.07727230457055356,0.8363636363636363,0.8363636363636363,0.8363636363636363,0
4,CoSaMP,256,128,55,0.01,coherent,0.6197483497918053,0.5636363636363636,0.5636363636363636,0.5636363636363636,0
5,CorrelationTopK,256,128,55,0.01,coherent,0.6852144293182423,0.38181818181818183,0.38181818181818183,0.38181818181818183,0
5,LearnedSupportMLP,256,128,55,0.01,coherent,0.4859591222175386,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
5,OMP,256,128,55,0.01,coherent,0.41769145989717804,0.6363636363636364,0.6363636363636364,0.6363636363636364,0
5,OMP_LearnedUnion,256,128,55,0.01,coherent,0.31713815225380465,0.7090909090909091,0.7090909090909091,0.7090909090909091,0
5,CoSaMP,256,128,55,0.01,coherent,0.40909517618645846,0.6,0.6,0.6,0
6,CorrelationTopK,256,128,55,0.01,coherent,0.8276985627604782,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
6,LearnedSupportMLP,256,128,55,0.01,coherent,0.6935611698230095,0.45454545454545453,0.45454545454545453,0.45454545454545453,0
6,OMP,256,128,55,0.01,coherent,0.4218291195909633,0.6545454545454545,0.6545454545454545,0.6545454545454545,0
6,OMP_LearnedUnion,256,128,55,0.01,coherent,0.35472835583559065,0.7090909090909091,0.7090909090909091,0.7090909090909091,0
6,CoSaMP,256,128,55,0.01,coherent,0.5060059012456842,0.5454545454545454,0.5454545454545454,0.5454545454545454,0
7,CorrelationTopK,256,128,55,0.01,coherent,0.7729081637609645,0.34545454545454546,0.34545454545454546,0.34545454545454546,0
7,LearnedSupportMLP,256,128,55,0.01,coherent,0.5564736069534424,0.41818181818181815,0.41818181818181815,0.41818181818181815,0
7,OMP,256,128,55,0.01,coherent,0.23979225894980558,0.7090909090909091,0.7090909090909091,0.7090909090909091,0
7,OMP_LearnedUnion,256,128,55,0.01,coherent,0.17728225567913558,0.7454545454545455,0.7454545454545455,0.7454545454545455,0
7,CoSaMP,256,128,55,0.01,coherent,0.3403921297001172,0.5818181818181818,0.5818181818181818,0.5818181818181818,0
8,CorrelationTopK,256,128,55,0.01,coherent,0.827989462263837,0.34545454545454546,0.34545454545454546,0.34545454545454546,0
8,LearnedSupportMLP,256,128,55,0.01,coherent,0.5596840815274049,0.41818181818181815,0.41818181818181815,0.41818181818181815,0
8,OMP,256,128,55,0.01,coherent,0.02592896681567148,0.9090909090909091,0.9090909090909091,0.9090909090909091,0
8,OMP_LearnedUnion,256,128,55,0.01,coherent,0.02593149497708622,0.9090909090909091,0.9090909090909091,0.9090909090909091,0
8,CoSaMP,256,128,55,0.01,coherent,0.5101114563890381,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
9,CorrelationTopK,256,128,55,0.01,coherent,0.9697794135061728,0.41818181818181815,0.41818181818181815,0.41818181818181815,0
9,LearnedSupportMLP,256,128,55,0.01,coherent,0.6747041636397917,0.5272727272727272,0.5272727272727272,0.5272727272727272,0
9,OMP,256,128,55,0.01,coherent,0.5609622693216924,0.6,0.6,0.6,0
9,OMP_LearnedUnion,256,128,55,0.01,coherent,0.42808928348319925,0.6909090909090909,0.6909090909090909,0.6909090909090909,0
9,CoSaMP,256,128,55,0.01,coherent,0.4634372495141249,0.6363636363636364,0.6363636363636364,0.6363636363636364,0
10,CorrelationTopK,256,128,55,0.01,coherent,0.6115161282709204,0.38181818181818183,0.38181818181818183,0.38181818181818183,0
10,LearnedSupportMLP,256,128,55,0.01,coherent,0.6474038991518524,0.38181818181818183,0.38181818181818183,0.38181818181818183,0
10,OMP,256,128,55,0.01,coherent,0.0455013172139218,0.8909090909090909,0.8909090909090909,0.8909090909090909,0
10,OMP_LearnedUnion,256,128,55,0.01,coherent,0.045356518606318834,0.8909090909090909,0.8909090909090909,0.8909090909090909,0
10,CoSaMP,256,128,55,0.01,coherent,0.3877477188839783,0.5454545454545454,0.5454545454545454,0.5454545454545454,0
11,CorrelationTopK,256,128,55,0.01,coherent,0.5869992325701496,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
11,LearnedSupportMLP,256,128,55,0.01,coherent,0.48802350635647684,0.509090909090909,0.509090909090909,0.509090909090909,0
11,OMP,256,128,55,0.01,coherent,0.575367084056578,0.5454545454545454,0.5454545454545454,0.5454545454545454,0
11,OMP_LearnedUnion,256,128,55,0.01,coherent,0.5517159068741012,0.5454545454545454,0.5454545454545454,0.5454545454545454,0
11,CoSaMP,256,128,55,0.01,coherent,0.4998954661998073,0.5636363636363636,0.5636363636363636,0.5636363636363636,0
12,CorrelationTopK,256,128,55,0.01,coherent,0.618283389188779,0.45454545454545453,0.45454545454545453,0.45454545454545453,0
12,LearnedSupportMLP,256,128,55,0.01,coherent,0.6460114576919472,0.41818181818181815,0.41818181818181815,0.41818181818181815,0
12,OMP,256,128,55,0.01,coherent,0.027497030224615693,0.9454545454545454,0.9454545454545454,0.9454545454545454,0
12,OMP_LearnedUnion,256,128,55,0.01,coherent,0.029887011004941306,0.9454545454545454,0.9454545454545454,0.9454545454545454,0
12,CoSaMP,256,128,55,0.01,coherent,0.3484058491898217,0.5818181818181818,0.5818181818181818,0.5818181818181818,0
13,CorrelationTopK,256,128,55,0.01,coherent,0.6491809320011982,0.41818181818181815,0.41818181818181815,0.41818181818181815,0
13,LearnedSupportMLP,256,128,55,0.01,coherent,0.6867121981510136,0.4,0.4,0.4000000000000001,0
13,OMP,256,128,55,0.01,coherent,0.5652272046872198,0.6,0.6,0.6,0
13,OMP_LearnedUnion,256,128,55,0.01,coherent,0.5808057141127305,0.5818181818181818,0.5818181818181818,0.5818181818181818,0
13,CoSaMP,256,128,55,0.01,coherent,0.3886245845912232,0.6363636363636364,0.6363636363636364,0.6363636363636364,0
14,CorrelationTopK,256,128,55,0.01,coherent,0.7575000843232699,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
14,LearnedSupportMLP,256,128,55,0.01,coherent,0.786849907087202,0.38181818181818183,0.38181818181818183,0.38181818181818183,0
14,OMP,256,128,55,0.01,coherent,0.06820261952899531,0.8363636363636363,0.8363636363636363,0.8363636363636363,0
14,OMP_LearnedUnion,256,128,55,0.01,coherent,0.06954393844766744,0.8363636363636363,0.8363636363636363,0.8363636363636363,0
14,CoSaMP,256,128,55,0.01,coherent,0.6685471635146145,0.45454545454545453,0.45454545454545453,0.45454545454545453,0
15,CorrelationTopK,256,128,55,0.01,coherent,0.6856820832785108,0.4,0.4,0.4000000000000001,0
15,LearnedSupportMLP,256,128,55,0.01,coherent,0.685697802451273,0.45454545454545453,0.45454545454545453,0.45454545454545453,0
15,OMP,256,128,55,0.01,coherent,0.06667361460270028,0.8545454545454545,0.8545454545454545,0.8545454545454545,0
15,OMP_LearnedUnion,256,128,55,0.01,coherent,0.06252214144165626,0.8727272727272727,0.8727272727272727,0.8727272727272727,0
15,CoSaMP,256,128,55,0.01,coherent,0.4998735190027576,0.5818181818181818,0.5818181818181818,0.5818181818181818,0
16,CorrelationTopK,256,128,55,0.01,coherent,0.6722800936402625,0.4,0.4,0.4000000000000001,0
16,LearnedSupportMLP,256,128,55,0.01,coherent,0.6812948237538989,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
16,OMP,256,128,55,0.01,coherent,0.35090188824618584,0.6545454545454545,0.6545454545454545,0.6545454545454545,0
16,OMP_LearnedUnion,256,128,55,0.01,coherent,0.3017460266311854,0.6909090909090909,0.6909090909090909,0.6909090909090909,0
16,CoSaMP,256,128,55,0.01,coherent,0.49340610151042863,0.5636363636363636,0.5636363636363636,0.5636363636363636,0
17,CorrelationTopK,256,128,55,0.01,coherent,0.8290156691678344,0.3090909090909091,0.3090909090909091,0.3090909090909091,0
17,LearnedSupportMLP,256,128,55,0.01,coherent,0.6736100124047423,0.38181818181818183,0.38181818181818183,0.38181818181818183,0
17,OMP,256,128,55,0.01,coherent,0.16769780735867396,0.7636363636363637,0.7636363636363637,0.7636363636363637,0
17,OMP_LearnedUnion,256,128,55,0.01,coherent,0.12420896871197773,0.8181818181818182,0.8181818181818182,0.8181818181818182,0
17,CoSaMP,256,128,55,0.01,coherent,0.4511352089302669,0.5272727272727272,0.5272727272727272,0.5272727272727272,0
18,CorrelationTopK,256,128,55,0.01,coherent,0.8419998091732209,0.32727272727272727,0.32727272727272727,0.32727272727272727,0
