trial,omp_nrmse,union_nrmse,nrmse_gain,omp_f1,union_f1,f1_gain,num_missed_by_omp,num_missed_recovered_by_learned,num_missed_recovered_by_union,num_false_omp_removed
122,0.4856707719694212,0.48022661338565437,0.005444158583766845,0.603448275862069,0.5862068965517241,-0.017241379310344862,23,4,1,7
123,0.6422560373826733,0.7276013404709636,-0.08534530308829025,0.4827586206896552,0.43103448275862066,-0.05172413793103453,30,7,0,9
124,0.5015183854489802,0.4561613698586141,0.04535701559036609,0.5862068965517241,0.603448275862069,0.017241379310344862,24,9,3,8
125,0.6316643237950282,0.5883937092924655,0.043270614502562754,0.5517241379310345,0.5862068965517241,0.03448275862068961,26,6,2,7
126,0.3764320155987037,0.37798082095813723,-0.001548805359433525,0.6724137931034483,0.6724137931034483,0.0,19,6,1,4
127,0.47464580869097656,0.45150238795821956,0.023143420732756992,0.6724137931034483,0.6896551724137931,0.017241379310344862,19,3,3,7
128,0.4723461158120035,0.4635307733967043,0.008815342415299188,0.5689655172413793,0.5689655172413793,0.0,25,4,2,5
129,0.53048941048905,0.526667429139471,0.0038219813495790067,0.5344827586206896,0.5689655172413793,0.034482758620689724,27,4,2,5
130,0.5360208934583753,0.45802552835264443,0.07799536510573091,0.5689655172413793,0.6379310344827587,0.06896551724137934,25,4,4,5
131,0.6537027610305128,0.6235681833009152,0.0301345777295976,0.46551724137931033,0.5172413793103449,0.05172413793103453,31,9,3,7
132,0.49459606996143096,0.4974572831880494,-0.00286121322661842,0.5689655172413793,0.5689655172413793,0.0,25,7,0,3
133,0.632824818639553,0.6341451445535865,-0.0013203259140335266,0.46551724137931033,0.43103448275862066,-0.03448275862068967,31,5,1,11
134,0.4335012313958439,0.406135413108531,0.027365818287312882,0.5517241379310345,0.5689655172413793,0.017241379310344862,26,8,1,5
135,0.7008224639367644,0.6101892607241282,0.09063320321263624,0.5517241379310345,0.603448275862069,0.051724137931034475,26,9,4,11
136,0.8472321400776335,0.8541690410894168,-0.006936901011783347,0.43103448275862066,0.4482758620689655,0.017241379310344862,33,9,5,7
