trial,matrix_type,n,m,k,m_over_n,k_over_m,noise_std,method,nrmse,precision,recall,f1,exact_support
7,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.77294017459148,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
7,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.6204748759506269,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
7,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.01823756521738649,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
7,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.012366331714452497,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
7,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.01196391378584416,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
7,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.011963913785844668,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
8,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.5213637664697307,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
8,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.35820455703284587,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
8,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.011012702702317795,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
8,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.010712230149233419,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
8,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.03617654163302338,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
8,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.0368984303162816,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
9,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.6245414844807421,0.25,0.25,0.25,0
9,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.437342990978101,0.375,0.375,0.375,0
9,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.01977268080961936,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
9,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.0199750009800732,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
9,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.022454163623475246,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
9,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.022485060997322257,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
10,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.4765013585488357,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
10,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.5392163757385047,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
10,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.014345013280523424,0.9583333333333334,0.9583333333333334,0.9583333333333334,0
10,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.01144139937068893,1.0,1.0,1.0,1
10,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.01144139937068922,1.0,1.0,1.0,1
10,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.01144139937068893,1.0,1.0,1.0,1
11,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.35346165115052647,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
11,gaussian,256,96,24,0.375,0.25,0.01,LearnedSupportMLP,0.2780560004261105,0.5,0.5,0.5,0
11,gaussian,256,96,24,0.375,0.25,0.01,CoSaMP,0.011159258911900652,1.0,1.0,1.0,1
11,gaussian,256,96,24,0.375,0.25,0.01,SubspacePursuit,0.011159258911900652,1.0,1.0,1.0,1
11,gaussian,256,96,24,0.375,0.25,0.01,OMP,0.011159258911900224,1.0,1.0,1.0,1
11,gaussian,256,96,24,0.375,0.25,0.01,OMP_LearnedUnion,0.011159258911900652,1.0,1.0,1.0,1
12,gaussian,256,96,24,0.375,0.25,0.01,CorrelationTopK,0.6449185049253138,0.375,0.375,0.375,0
