trial,matrix_type,coherence_strength,n,m,k,m_over_n,k_over_m,noise_std,signal_type,method,nrmse,precision,recall,f1,exact_support
5,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.45230937007959393,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
5,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.4572984350235802,0.5,0.5,0.5,0
5,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.2661989007321876,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
5,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.3288498689684134,0.5,0.5,0.5,0
5,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.33265584718795355,0.5,0.5,0.5,0
5,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.3213807558414505,0.5,0.5,0.5,0
6,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.6179692872566055,0.2916666666666667,0.2916666666666667,0.2916666666666667,0
6,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.571907865629657,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
6,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.6360632773090683,0.375,0.375,0.375,0
6,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.2011728344959401,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
6,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.19200194489210398,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
6,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.19020735490289792,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
6,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.1944169542237848,0.8333333333333334,0.8333333333333334,0.8333333333333334,0
7,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.5410730668635045,0.4166666666666667,0.4166666666666667,0.4166666666666667,0
7,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.3218592237647079,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
7,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.3336603536015485,0.625,0.625,0.625,0
7,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CoSaMP,0.19129209980471013,0.75,0.75,0.75,0
7,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,SubspacePursuit,0.17557331344703384,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
7,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP,0.17989068695265378,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
7,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,OMP_LearnedUnion,0.17989068695265426,0.7916666666666666,0.7916666666666666,0.7916666666666666,0
8,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,CorrelationTopK,0.5380321731220951,0.3333333333333333,0.3333333333333333,0.3333333333333333,0
8,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,LearnedSupportMLP,0.4051019529170444,0.5,0.5,0.5,0
8,coherent,0.25,256,96,24,0.375,0.25,0.01,compressible,IHT,0.4945987863747786,0.4583333333333333,0.4583333333333333,0.4583333333333333,0
