trial,method,n,m,k,noise_std,matrix_type,nrmse,precision,recall,f1,exact_support
5,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.31806286804555967,0.6909090909090909,0.6909090909090909,0.6909090909090909,0
5,CoSaMP,256,128,55,0.01,gaussian,0.6069206508164001,0.5272727272727272,0.5272727272727272,0.5272727272727272,0
6,CorrelationTopK,256,128,55,0.01,gaussian,0.6643211453967434,0.38181818181818183,0.38181818181818183,0.38181818181818183,0
6,LearnedSupportMLP,256,128,55,0.01,gaussian,0.7214731404152286,0.36363636363636365,0.36363636363636365,0.36363636363636365,0
6,OMP,256,128,55,0.01,gaussian,0.047567573180742624,0.9272727272727272,0.9272727272727272,0.9272727272727272,0
6,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.03847625072614571,0.9454545454545454,0.9454545454545454,0.9454545454545454,0
6,CoSaMP,256,128,55,0.01,gaussian,0.47361290407645423,0.5818181818181818,0.5818181818181818,0.5818181818181818,0
7,CorrelationTopK,256,128,55,0.01,gaussian,0.6845043571305459,0.4,0.4,0.4000000000000001,0
7,LearnedSupportMLP,256,128,55,0.01,gaussian,0.6124105300627651,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
7,OMP,256,128,55,0.01,gaussian,0.18385529092034344,0.7636363636363637,0.7636363636363637,0.7636363636363637,0
7,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.15880859673410294,0.7818181818181819,0.7818181818181819,0.7818181818181819,0
7,CoSaMP,256,128,55,0.01,gaussian,0.5778389020673259,0.5454545454545454,0.5454545454545454,0.5454545454545454,0
8,CorrelationTopK,256,128,55,0.01,gaussian,0.6461244532932603,0.45454545454545453,0.45454545454545453,0.45454545454545453,0
8,LearnedSupportMLP,256,128,55,0.01,gaussian,0.7348960446397982,0.4727272727272727,0.4727272727272727,0.4727272727272727,0
8,OMP,256,128,55,0.01,gaussian,0.4262218112921017,0.6545454545454545,0.6545454545454545,0.6545454545454545,0
8,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.3215094617015192,0.7272727272727273,0.7272727272727273,0.7272727272727273,0
8,CoSaMP,256,128,55,0.01,gaussian,0.37724631122046576,0.6181818181818182,0.6181818181818182,0.6181818181818182,0
9,CorrelationTopK,256,128,55,0.01,gaussian,0.5300866898585096,0.34545454545454546,0.34545454545454546,0.34545454545454546,0
9,LearnedSupportMLP,256,128,55,0.01,gaussian,0.5187417208055008,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
9,OMP,256,128,55,0.01,gaussian,0.02558145680519933,0.9454545454545454,0.9454545454545454,0.9454545454545454,0
9,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.025581456805199604,0.9454545454545454,0.9454545454545454,0.9454545454545454,0
9,CoSaMP,256,128,55,0.01,gaussian,0.45728979765653194,0.4909090909090909,0.4909090909090909,0.4909090909090909,0
10,CorrelationTopK,256,128,55,0.01,gaussian,0.5799821380251888,0.41818181818181815,0.41818181818181815,0.41818181818181815,0
10,LearnedSupportMLP,256,128,55,0.01,gaussian,0.5491439464524268,0.43636363636363634,0.43636363636363634,0.43636363636363634,0
10,OMP,256,128,55,0.01,gaussian,0.08471145764615419,0.8545454545454545,0.8545454545454545,0.8545454545454545,0
10,OMP_LearnedUnion,256,128,55,0.01,gaussian,0.08561213441005791,0.8545454545454545,0.8545454545454545,0.8545454545454545,0
10,CoSaMP,256,128,55,0.01,gaussian,0.43327035590381485,0.5272727272727272,0.5272727272727272,0.5272727272727272,0
11,CorrelationTopK,256,128,55,0.01,gaussian,0.7367338169358283,0.41818181818181815,0.41818181818181815,0.41818181818181815,0
