matrix_type,m_over_n,k_over_m,method_omp,nrmse_omp,f1_omp,method_union,nrmse_union,f1_union,nrmse_gain,f1_gain
coherent,0.375,0.25,OMP,0.2712127121036361,0.7341666666666667,OMP_LearnedUnion,0.2689921791647985,0.73875,0.002220532938837616,0.004583333333333273
coherent,0.375,0.3541666666666667,OMP,0.3819098502150629,0.65,OMP_LearnedUnion,0.3752942857699431,0.6547058823529411,0.006615564445119793,0.004705882352941115
coherent,0.375,0.4479166666666667,OMP,0.6498811158057345,0.4881395348837209,OMP_LearnedUnion,0.6441289193512919,0.4986046511627907,0.005752196454442582,0.010465116279069764
coherent,0.5,0.25,OMP,0.19176537275399108,0.80125,OMP_LearnedUnion,0.1906628450285814,0.803125,0.0011025277254096688,0.00187499999999996
coherent,0.5,0.3515625,OMP,0.22429130476940692,0.7671111111111111,OMP_LearnedUnion,0.22284913513323495,0.7704444444444445,0.0014421696361719694,0.0033333333333334103
coherent,0.5,0.453125,OMP,0.4625655452047531,0.6082758620689656,OMP_LearnedUnion,0.455015867859338,0.6156896551724138,0.007549677345415118,0.007413793103448252
coherent,0.625,0.25,OMP,0.16496765178107997,0.8277500000000001,OMP_LearnedUnion,0.16350769606608978,0.8310000000000001,0.001459955714990191,0.003249999999999975
coherent,0.625,0.35,OMP,0.17332829247449869,0.81375,OMP_LearnedUnion,0.17194502214661278,0.8166071428571429,0.0013832703278859049,0.0028571428571428914
coherent,0.625,0.45,OMP,0.288961246612284,0.7261111111111112,OMP_LearnedUnion,0.277964955631987,0.7365277777777779,0.01099629098029703,0.01041666666666674
gaussian,0.375,0.25,OMP,0.2484903753129986,0.7575,OMP_LearnedUnion,0.24681156063133508,0.7604166666666667,0.0016788146816635319,0.0029166666666667895
gaussian,0.375,0.3541666666666667,OMP,0.36499609299510355,0.6561764705882354,OMP_LearnedUnion,0.35717270566886133,0.6620588235294117,0.007823387326242215,0.005882352941176339
gaussian,0.375,0.4479166666666667,OMP,0.6062097541536619,0.5032558139534884,OMP_LearnedUnion,0.6005589863043238,0.5120930232558139,0.005650767849338045,0.008837209302325455
gaussian,0.5,0.25,OMP,0.18877005088589915,0.8165625,OMP_LearnedUnion,0.18719422202349228,0.81875,0.0015758288624068695,0.002187500000000009
gaussian,0.5,0.3515625,OMP,0.2162102383140744,0.7659999999999999,OMP_LearnedUnion,0.2127898585816722,0.7684444444444445,0.0034203797324021956,0.0024444444444445823
gaussian,0.5,0.453125,OMP,0.43309420544981075,0.6337931034482759,OMP_LearnedUnion,0.4235696485641349,0.6431034482758621,0.009524556885675828,0.009310344827586192
gaussian,0.625,0.25,OMP,0.15818906464807722,0.8310000000000001,OMP_LearnedUnion,0.1574633257544549,0.8320000000000001,0.0007257388936223186,0.0010000000000000009
gaussian,0.625,0.35,OMP,0.16831587486675625,0.8157142857142857,OMP_LearnedUnion,0.1656874629579729,0.8214285714285714,0.0026284119087833513,0.005714285714285672
gaussian,0.625,0.45,OMP,0.27953009324785777,0.7316666666666667,OMP_LearnedUnion,0.2685364156892531,0.7416666666666667,0.010993677558604642,0.010000000000000009
