method,n,m,k,noise_std,matrix_type,signal_type,nrmse,precision,recall,f1,exact_support,trial
ISTA_LASSO,256,128,32,0.01,gaussian,sparse,0.05559833236923081,0.96875,0.96875,0.96875,0,19
OMP,256,128,32,0.01,gaussian,compressible,0.1936338233995526,0.84375,0.84375,0.84375,0,0
CoSaMP,256,128,32,0.01,gaussian,compressible,0.15833111860726407,0.875,0.875,0.875,0,0
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.2202384316026146,0.84375,0.84375,0.84375,0,0
OMP,256,128,32,0.01,gaussian,compressible,0.1730360501127833,0.875,0.875,0.875,0,1
CoSaMP,256,128,32,0.01,gaussian,compressible,0.20005713027531594,0.84375,0.84375,0.84375,0,1
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.3192005673152664,0.75,0.75,0.75,0,1
OMP,256,128,32,0.01,gaussian,compressible,0.18330777352913327,0.8125,0.8125,0.8125,0,2
CoSaMP,256,128,32,0.01,gaussian,compressible,0.18447467818823873,0.78125,0.78125,0.78125,0,2
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.20794799284450827,0.90625,0.90625,0.90625,0,2
OMP,256,128,32,0.01,gaussian,compressible,0.1603836190797826,0.8125,0.8125,0.8125,0,3
CoSaMP,256,128,32,0.01,gaussian,compressible,0.1825518708389264,0.78125,0.78125,0.78125,0,3
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.20376427928912114,0.78125,0.78125,0.78125,0,3
OMP,256,128,32,0.01,gaussian,compressible,0.209209803466179,0.8125,0.8125,0.8125,0,4
CoSaMP,256,128,32,0.01,gaussian,compressible,0.2065051010166416,0.84375,0.84375,0.84375,0,4
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.21093442557102968,0.84375,0.84375,0.84375,0,4
OMP,256,128,32,0.01,gaussian,compressible,0.13377275064725597,0.90625,0.90625,0.90625,0,5
CoSaMP,256,128,32,0.01,gaussian,compressible,0.14217466141468765,0.84375,0.84375,0.84375,0,5
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.14344371375834764,0.90625,0.90625,0.90625,0,5
OMP,256,128,32,0.01,gaussian,compressible,0.17602460843228393,0.84375,0.84375,0.84375,0,6
CoSaMP,256,128,32,0.01,gaussian,compressible,0.17424119556511194,0.875,0.875,0.875,0,6
ISTA_LASSO,256,128,32,0.01,gaussian,compressible,0.16691701202435524,0.84375,0.84375,0.84375,0,6
OMP,256,128,32,0.01,gaussian,compressible,0.18165455357191895,0.78125,0.78125,0.78125,0,7
